AISP;RISP;CISP;Munic;Unidade Territorial;Latitude;Longitude
7;11;152;Duas Barras                                      ;Duas Barras e Monnerat;-22,0515;-42,5007
7;11;153;Cantagalo                                        ;Cantagalo, Santa Rita da Floresta, Boa Sorte, Euclidelândia e São Sebastião do Paraíba;-21,8759;-42,3284
7;11;154;"Cordeiro;Macuco                                  ";"Cordeiro; Macuco";-22,0515;-42,3284
6;36;155;São Sebastião do Alto                            ;São Sebastião do Alto, Valão do Barro e Ipituna;-21,9057;-42,1230
7;11;156;Santa Maria Madalena                             ;Santa Maria Madalena, Doutor Loreti, Renascença, Santo Antônio do Imbé, Sossego e Triunfo;-21,9654;-41,9143
7;11;157;Trajano de Morais                                ;Trajano de Moraes, Doutor Elias, Sodrelândia, Vila da Grama e Visconde de Imbé;-22,1244;-42,1495
7;11;158;Bom Jardim                                       ;Bom Jardim, Banquete, Barra Alegre e São José do Ribeirão;-22,2072;-42,3748
4;35;159;Cachoeiras de Macacu                             ;Cachoeiras de Macacu, Japuíba e Subaio;-22,5087;-42,7226
5;33;165;Mangaratiba                                      ;Mangaratiba, Conceição de Jacareí, Vila Muriquí, Itacuruçá;-22,9265;-44,0892
5;33;166;Angra dos Reis                                   ;Angra dos Reis, Jacuecanga, Cunhambebe, Mambucaba, Abraão e Praia de Araçatiba;-22,9431;-44,4884
5;33;167;Paraty                                           ;Paraty, Paraty-Mirim e Tarituba;-23,1418;-44,7518
5;28;168;Rio Claro                                        ;Rio Claro, Getulândia, Lídice, Passa Três e São João Marcos;-22,7820;-44,0735
